#,alpha,po,tmax,граф 1,граф 2,граф 3,медиана
0,0.1,0.1,20.0,1.0,4.0,227.0,4.0
1,0.1,0.1,50.0,0.0,2.0,57.0,2.0
2,0.1,0.1,100.0,0.0,2.0,0.0,0.0
3,0.1,0.1,200.0,0.0,1.0,38.0,1.0
4,0.1,0.1,500.0,0.0,1.0,0.0,0.0
5,0.1,0.25,20.0,1.0,3.0,170.0,3.0
6,0.1,0.25,50.0,1.0,2.0,96.0,2.0
7,0.1,0.25,100.0,0.0,2.0,0.0,0.0
8,0.1,0.25,200.0,0.0,2.0,38.0,2.0
9,0.1,0.25,500.0,0.0,2.0,0.0,0.0
10,0.1,0.5,20.0,1.0,2.0,258.0,2.0
11,0.1,0.5,50.0,0.0,2.0,224.0,2.0
12,0.1,0.5,100.0,0.0,2.0,0.0,0.0
13,0.1,0.5,200.0,0.0,2.0,0.0,0.0
14,0.1,0.5,500.0,0.0,1.0,0.0,0.0
15,0.1,0.75,20.0,0.0,2.0,0.0,0.0
16,0.1,0.75,50.0,1.0,0.0,0.0,0.0
17,0.1,0.75,100.0,0.0,1.0,38.0,1.0
18,0.1,0.75,200.0,0.0,2.0,0.0,0.0
19,0.1,0.75,500.0,0.0,1.0,38.0,1.0
20,0.1,0.9,20.0,1.0,3.0,57.0,3.0
21,0.1,0.9,50.0,0.0,2.0,124.0,2.0
22,0.1,0.9,100.0,0.0,1.0,62.0,1.0
23,0.1,0.9,200.0,1.0,1.0,57.0,1.0
24,0.1,0.9,500.0,0.0,1.0,0.0,0.0
25,0.25,0.1,20.0,0.0,3.0,162.0,3.0
26,0.25,0.1,50.0,1.0,1.0,124.0,1.0
27,0.25,0.1,100.0,0.0,1.0,57.0,1.0
28,0.25,0.1,200.0,1.0,0.0,0.0,0.0
29,0.25,0.1,500.0,0.0,1.0,0.0,0.0
30,0.25,0.25,20.0,1.0,3.0,93.0,3.0
31,0.25,0.25,50.0,0.0,1.0,0.0,0.0
32,0.25,0.25,100.0,1.0,2.0,104.0,2.0
33,0.25,0.25,200.0,0.0,1.0,0.0,0.0
34,0.25,0.25,500.0,0.0,1.0,0.0,0.0
35,0.25,0.5,20.0,1.0,2.0,62.0,2.0
36,0.25,0.5,50.0,1.0,3.0,93.0,3.0
37,0.25,0.5,100.0,0.0,1.0,51.0,1.0
38,0.25,0.5,200.0,0.0,1.0,38.0,1.0
39,0.25,0.5,500.0,0.0,1.0,0.0,0.0
40,0.25,0.75,20.0,1.0,3.0,304.0,3.0
41,0.25,0.75,50.0,1.0,2.0,38.0,2.0
42,0.25,0.75,100.0,0.0,2.0,0.0,0.0
43,0.25,0.75,200.0,0.0,2.0,38.0,2.0
44,0.25,0.75,500.0,0.0,2.0,0.0,0.0
45,0.25,0.9,20.0,1.0,1.0,213.0,1.0
46,0.25,0.9,50.0,0.0,3.0,124.0,3.0
47,0.25,0.9,100.0,0.0,2.0,93.0,2.0
48,0.25,0.9,200.0,0.0,2.0,0.0,0.0
49,0.25,0.9,500.0,0.0,1.0,0.0,0.0
50,0.5,0.1,20.0,1.0,3.0,38.0,3.0
51,0.5,0.1,50.0,0.0,3.0,0.0,0.0
52,0.5,0.1,100.0,0.0,2.0,104.0,2.0
53,0.5,0.1,200.0,0.0,1.0,38.0,1.0
54,0.5,0.1,500.0,0.0,0.0,0.0,0.0
55,0.5,0.25,20.0,1.0,4.0,268.0,4.0
56,0.5,0.25,50.0,1.0,2.0,93.0,2.0
57,0.5,0.25,100.0,1.0,2.0,62.0,2.0
58,0.5,0.25,200.0,0.0,0.0,38.0,0.0
59,0.5,0.25,500.0,0.0,1.0,0.0,0.0
60,0.5,0.5,20.0,1.0,3.0,57.0,3.0
61,0.5,0.5,50.0,1.0,2.0,0.0,1.0
62,0.5,0.5,100.0,0.0,2.0,0.0,0.0
63,0.5,0.5,200.0,0.0,0.0,0.0,0.0
64,0.5,0.5,500.0,0.0,2.0,38.0,2.0
65,0.5,0.75,20.0,1.0,2.0,62.0,2.0
66,0.5,0.75,50.0,0.0,2.0,156.0,2.0
67,0.5,0.75,100.0,0.0,2.0,0.0,0.0
68,0.5,0.75,200.0,0.0,2.0,0.0,0.0
69,0.5,0.75,500.0,0.0,1.0,0.0,0.0
70,0.5,0.9,20.0,1.0,2.0,38.0,2.0
71,0.5,0.9,50.0,0.0,2.0,51.0,2.0
72,0.5,0.9,100.0,0.0,2.0,104.0,2.0
73,0.5,0.9,200.0,0.0,2.0,0.0,0.0
74,0.5,0.9,500.0,0.0,0.0,0.0,0.0
75,0.75,0.1,20.0,1.0,2.0,354.0,2.0
76,0.75,0.1,50.0,1.0,1.0,162.0,1.0
77,0.75,0.1,100.0,0.0,2.0,62.0,2.0
78,0.75,0.1,200.0,0.0,0.0,51.0,0.0
79,0.75,0.1,500.0,0.0,1.0,0.0,0.0
80,0.75,0.25,20.0,1.0,2.0,304.0,2.0
81,0.75,0.25,50.0,1.0,1.0,170.0,1.0
82,0.75,0.25,100.0,0.0,1.0,232.0,1.0
83,0.75,0.25,200.0,0.0,2.0,104.0,2.0
84,0.75,0.25,500.0,0.0,0.0,0.0,0.0
85,0.75,0.5,20.0,0.0,1.0,378.0,1.0
86,0.75,0.5,50.0,1.0,3.0,0.0,1.0
87,0.75,0.5,100.0,0.0,2.0,57.0,2.0
88,0.75,0.5,200.0,0.0,2.0,38.0,2.0
89,0.75,0.5,500.0,0.0,0.0,57.0,0.0
90,0.75,0.75,20.0,1.0,2.0,319.0,2.0
91,0.75,0.75,50.0,1.0,2.0,38.0,2.0
92,0.75,0.75,100.0,0.0,2.0,38.0,2.0
93,0.75,0.75,200.0,0.0,2.0,0.0,0.0
94,0.75,0.75,500.0,0.0,1.0,0.0,0.0
95,0.75,0.9,20.0,1.0,3.0,437.0,3.0
96,0.75,0.9,50.0,1.0,2.0,213.0,2.0
97,0.75,0.9,100.0,0.0,3.0,51.0,3.0
98,0.75,0.9,200.0,0.0,0.0,51.0,0.0
99,0.75,0.9,500.0,0.0,0.0,0.0,0.0
100,0.9,0.1,20.0,0.0,3.0,464.0,3.0
101,0.9,0.1,50.0,1.0,2.0,51.0,2.0
102,0.9,0.1,100.0,1.0,1.0,93.0,1.0
103,0.9,0.1,200.0,0.0,1.0,0.0,0.0
104,0.9,0.1,500.0,0.0,1.0,38.0,1.0
105,0.9,0.25,20.0,1.0,2.0,213.0,2.0
106,0.9,0.25,50.0,0.0,2.0,170.0,2.0
107,0.9,0.25,100.0,1.0,2.0,213.0,2.0
108,0.9,0.25,200.0,0.0,2.0,38.0,2.0
109,0.9,0.25,500.0,0.0,1.0,38.0,1.0
110,0.9,0.5,20.0,2.0,3.0,57.0,3.0
111,0.9,0.5,50.0,1.0,3.0,124.0,3.0
112,0.9,0.5,100.0,0.0,3.0,93.0,3.0
113,0.9,0.5,200.0,1.0,0.0,104.0,1.0
114,0.9,0.5,500.0,0.0,2.0,38.0,2.0
115,0.9,0.75,20.0,2.0,2.0,385.0,2.0
116,0.9,0.75,50.0,1.0,3.0,353.0,3.0
117,0.9,0.75,100.0,0.0,3.0,38.0,3.0
118,0.9,0.75,200.0,0.0,1.0,38.0,1.0
119,0.9,0.75,500.0,0.0,1.0,38.0,1.0
120,0.9,0.9,20.0,2.0,4.0,592.0,4.0
121,0.9,0.9,50.0,0.0,1.0,0.0,0.0
122,0.9,0.9,100.0,1.0,2.0,0.0,1.0
123,0.9,0.9,200.0,0.0,1.0,57.0,1.0
124,0.9,0.9,500.0,0.0,2.0,0.0,0.0
